"GeoName","FIPS","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2013","Y2014","Y2015","Y2016","Y2017"
"Abilene, TX","10180","0.0349","0.0162","0.0182","-0.0198","0.0283","0.05","0.0239","-0.0349","0.0101","0.0133","0.061","0.0621","-0.0177","-0.0294","0.0588"
"Akron, OH","10420","0.0358","0.0185","0.0307","0.0189","-0.0086","0.0104","-0.0077","-0.0622","0.0147","0.0159","0.0252","0.0512","0.0393","0.0055","0.0062"
"Albany-Schenectady-Troy, NY","10580","0.0134","0.0314","0.0279","0.0037","0.0192","-0.0115","-0.0058","0.0185","0.0033","0.0057","0.0087","0.0082","0.0333","0.0096","0.0108"
"Albany, GA","10500","-0.0056","0.0161","-0.0071","0.0151","-0.0321","-0.0026","-0.033","-0.0089","-0.0307","-0.0142","0.0015","-0.0324","-0.0315","0.0148","0.0179"
"Albany, OR","10540","0.0667","-0.0237","0.0592","0.0156","0.0369","-0.0402","-0.0052","-0.0383","-0.023","0.0074","-0.0072","-0.0082","0.0384","0.0727","-0.0074"
"Albuquerque, NM","10740","-0.0166","0.0691","0.1164","0.0142","0.0172","-0.0118","-0.005","0.0208","0.0251","0.0037","-0.0441","0.03","0.0237","0.028","-0.0057"
"Alexandria, LA","10780","0.0288","0.0078","0.06","0.035","0.0495","0.0228","0.0127","-0.0112","0.0341","0.0093","-0.0127","-0.003","0.0133","0.0292","-0.0229"
"Allentown-Bethlehem-Easton, PA-NJ","10900","0.0353","-0.0134","0.0041","0.0118","0.0137","0.0163","-0.0117","-0.0313","0.0301","0.0129","0.033","0.0787","0.0436","-0.0077","0.0305"
"Altoona, PA","11020","0.0029","0.0246","0.0064","0.0169","-0.0038","0.0271","-0.0205","-0.006","-8e-04","0.0096","0.0126","0.0131","0.0146","-0.0142","0.0097"
"Amarillo, TX","11100","0.03","0.0223","0.0227","0.0024","0.0362","0.0246","0.0352","0.008","0.0201","0.0071","0.0124","0.0224","0.0424","0.0107","0.0161"
"Ames, IA","11180","7e-04","0.0368","0.0476","0.0038","0.0561","0.0069","0.0564","-0.0556","0.0601","0.0332","-0.0161","0.0146","0.0541","-0.0374","0.0574"
"Anchorage, AK","11260","0.0172","-0.0194","0.0666","0.0022","0.0469","0.0203","0.0053","0.0941","-0.019","0.0088","-0.0433","-0.036","9e-04","-0.0339","-0.0105"
"Ann Arbor, MI","11460","0.0658","0.0179","-0.0147","0.0026","-0.0131","0.0299","-0.0327","-0.0611","0.0349","0.0129","0.0045","-0.025","0.0472","0.024","0.0249"
"Anniston-Oxford-Jacksonville, AL","11500","0.046","0.0373","0.0722","0.0319","0.0178","0.0431","0.0064","-0.0643","0.0116","-0.0139","-0.0493","-0.0136","-0.0182","0.0093","0.0124"
"Appleton, WI","11540","-0.015","0.0404","0.0341","0.0109","0.0049","0.0116","-0.0442","-0.0029","0.0149","0.0144","-0.0163","0.0329","0.0484","0.0333","0.0114"
"Asheville, NC","11700","0.0151","0.0128","0.0362","0.0305","0.0312","0.015","0.0341","-0.0312","0.0023","-0.002","0.018","0.0395","0.0617","0.0547","0.0408"
"Athens-Clarke County, GA","12020","-4e-04","0.0216","0.0171","0.034","0.0036","0.022","0.0215","-0.0226","0.0104","-0.0073","-0.0031","0.0224","0.0742","0.0871","0.0487"
"Atlanta-Sandy Springs-Roswell, GA","12060","0.0168","0.0177","0.0253","0.0337","0.0236","0.0308","-0.0126","-0.0605","0.0193","0.0259","0.0354","0.0397","0.0385","0.0437","0.0293"
"Atlantic City-Hammonton, NJ","12100","0.0256","0.027","0.0022","0.0337","0.0072","-0.0282","-0.0407","-0.0734","0.022","-0.015","-0.0111","-0.0251","-0.0425","0.0109","-0.0028"
"Auburn-Opelika, AL","12220","0.0169","0.0558","0.0848","0.0436","0.0441","0.0241","0.0372","-0.0185","0.0426","0.0359","0.0183","0.0399","0.0256","0.0483","0.039"
"Augusta-Richmond County, GA-SC","12260","9e-04","0.0233","-0.0031","0.0085","-0.023","0.0074","0.0063","-0.0109","0.0273","0.0204","-0.0142","0.02","0.0239","0.0076","0.0061"
"Austin-Round Rock, TX","12420","0","0.0341","0.0874","0.0685","0.0848","0.0395","0.0464","-0.0193","0.0746","0.0361","0.0597","0.0539","0.0829","0.0551","0.0692"
"Bakersfield, CA","12540","0.1096","0.0142","0.0581","0.026","0.0662","0.0369","0.0018","0.0575","0.003","-0.0322","0.0102","0.038","0.0032","0.0086","-0.0133"
"Baltimore-Columbia-Towson, MD","12580","0.0215","0.0171","0.0386","0.0246","0.0172","0.0136","0.0058","-0.0115","0.0384","0.0152","0.0085","0.012","0.0083","0.0259","0.01"
