"FIPS","Metro-Name","Population","PCT female","PCT 0-4","PCT 5-9","PCT 10-14","PCT 15-17","PCT 18-24","PCT 25-34","PCT 35-44","PCT 45-54","PCT 55-64","PCT 65-74","PCT 75-84","PCT 85 plus","PCT married","PCT less than HS","PCT BS plus","PCT MS plus","PCT unemployed","Median HH Income","Gini Index","PCT Occupied Housing","Median Gross Rent","Commute under 10","Commute 10-19","Commute 20-29","Commute 30-39","Commute 40-59","Commute 60-89","Commute 90 plus","PCT Health Insured","PCT Public HI","PCT Private HI"
700,"Albertville, Alabama",94738,50.63,6.72,6.7,7.19,4.25,8.38,12.25,12.49,13.03,12.43,9.9,5,1.66,53.54,20.02,17.73,6.1,6.52,41104,0.4816,85.21,615,19.58,34.88,13.59,9.59,11.79,5.6,2.58,84.61,38.86,59.59
760,"Alexander City, Alabama",40756,51.87,5.44,6.41,5.65,3.79,8.52,10.55,10.92,13.64,15.2,12.09,5.74,2.05,51.54,19.18,18.21,6.07,9.17,42181,0.4536,73.54,614,13.64,34.2,14.14,16.26,9.71,6.86,2.29,90.64,44.91,62.07
1500,"Anniston-Oxford-Jacksonville, Alabama",115527,51.88,5.67,6.05,6.24,4.04,9.63,12.93,12.1,13.16,13.72,9.76,4.93,1.77,48.37,16.78,17.87,7.62,10.07,43686,0.4629,84.05,645,14.19,28.68,22.39,16.2,8.68,3.9,2.75,89.56,40.4,66.44
2120,"Atmore, Alabama",37621,48.63,5.83,6.21,6.49,3.74,8.89,12.71,12.92,13.55,12.6,9.79,5.39,1.87,43.64,19.03,12.15,4.6,13.72,35026,0.4844,79.89,580,21.04,37.81,12.28,11.72,7.9,5.99,2.43,84.36,38.47,57.15
2220,"Auburn-Opelika, Alabama",156597,50.72,5.93,5.87,6.13,3.68,19.35,14.34,12.08,11.71,10.15,6.72,3.13,0.9,43.44,10.06,34.85,15.1,5.75,47564,0.5008,87.95,818,12.61,37.32,19.51,15.29,7.55,2.64,1.58,91.35,27.1,74.98
3820,"Birmingham-Hoover, Alabama",1144097,51.82,6.3,6.46,6.52,3.97,8.68,13.6,12.99,13.41,13.16,8.74,4.49,1.68,48.37,12.01,29.37,10.99,6.85,52088,0.4802,86.08,831,9.4,26.26,23.03,19.19,12.75,4.74,1.52,90.19,32.92,69.74
7980,"Columbus, Alabama",58480,51.4,7.38,7.94,5.79,3.87,8.83,15.7,12.45,12.93,12.14,7.79,3.87,1.32,43.73,17.1,16.88,6.31,9.7,38988,0.4591,83.51,759,7.84,30.39,25.8,19.89,10.04,1.78,1.41,86.2,39.41,59.5
8980,"Cullman, Alabama",81703,50.77,6.03,5.64,6.93,3.87,8.11,12.26,12.43,13.63,13.34,10.57,5.7,1.49,56.28,17.89,14.91,5.37,5.76,40997,0.4482,82.87,644,17.02,29.89,16.36,10.65,11.88,9.62,2.54,86.57,36.62,62.55
9300,"Daphne-Fairhope-Foley, Alabama",203360,51.06,5.66,6.15,6.39,3.94,7.54,11.19,12.47,13.59,14.05,11.46,5.66,1.9,52.41,9.79,30.74,10.3,5.5,52562,0.4618,69.2,904,9.86,26.83,18.78,18.47,13.36,5.3,1.76,89.21,34.88,69.56
9460,"Decatur, Alabama",152445,50.85,5.82,6.75,6.16,4.03,8.05,12.19,12.64,14.38,13.58,9.75,4.82,1.82,52.71,18.46,18.51,5.72,6.61,46725,0.4519,87.84,611,12.71,29.68,18.76,18.44,14.01,3.24,1.47,89.12,35.99,67.87
